"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","REACTOME pathway","R-DME-8953854","Metabolism of RNA","472","26","3.114","1.0363","0.051","0.454487492555104","0.342478064013066","1","0.730838997562127","1","Pp2A-29B,Adar,fne,Ulp1,dbe,Sf3b2,Spf45,Smg5,l(2)05287,Gp210,Rpb5,Mtor,CG4554,CG5543,eIF4E3,Sf3a2,CG7275,nxf2,CG6841,Sf3a1,CG7006,Smg6,Nup358,Nup214,l(3)07882,hrg","FBgn0260439,FBgn0026086,FBgn0086675,FBgn0027603,FBgn0020305,FBgn0031493,FBgn0086683,FBgn0019890,FBgn0284251,FBgn0266580,FBgn0033571,FBgn0013756,FBgn0034734,FBgn0034908,FBgn0265089,FBgn0036314,FBgn0036500,FBgn0036640,FBgn0036828,FBgn0266917,FBgn0039233,FBgn0039260,FBgn0039302,FBgn0010660,FBgn0010926,FBgn0015949"
"","REACTOME pathway","R-DME-1280218","Adaptive Immune System","303","24","2.874","1.4901","0.575","0.0334775349300016","1.47524652814926","1","0.520375452884638","1","Pp2A-29B,CG1824,CG31445,CG32568,HERC2,crq,STUB1,Trpgamma,Mdr49,Uba3,Ubc10,nopo,dsb,ctrip,FBXO11,CG32473,Pak3,CG31233,trp,Pten,Patj,cathD,Tor,SP1029","FBgn0260439,FBgn0030403,FBgn0051445,FBgn0052568,FBgn0031107,FBgn0015924,FBgn0027052,FBgn0032593,FBgn0004512,FBgn0263697,FBgn0026316,FBgn0034314,FBgn0035290,FBgn0260794,FBgn0037760,FBgn0052473,FBgn0044826,FBgn0051233,FBgn0003861,FBgn0026379,FBgn0067864,FBgn0029093,FBgn0021796,FBgn0263236"
"","REACTOME pathway","R-DME-1640170","Cell Cycle","272","23","2.754","1.5907","0.67","0.0190326662990796","1.72050036684362","1","0.493322669924725","1","Pp2A-29B,hop,Lam,Cdk1,lok,RPA2,Gp210,Mtor,CG8878,Fen1,Orc4,SA-2,mus304,Grasp65,Gnf1,Mcm2,tefu,CG4733,DNApol-epsilon255,Nup358,Sld5,gwl,Nup214","FBgn0260439,FBgn0004864,FBgn0002525,FBgn0004106,FBgn0019686,FBgn0032906,FBgn0266580,FBgn0013756,FBgn0027504,FBgn0025832,FBgn0023181,FBgn0043865,FBgn0002901,FBgn0036919,FBgn0004913,FBgn0014861,FBgn0045035,FBgn0038744,FBgn0264326,FBgn0039302,FBgn0039403,FBgn0260399,FBgn0010660"
"","REACTOME pathway","R-DME-382551","Transport of small molecules","438","23","2.754","0.9878","-0.018","0.555383200737045","0.25540726095152","1","0.815004162978193","1","Vha100-3,CG33310,CG1703,CG1824,yl,CG9981,CG7806,Eato,Trpgamma,AQP,CG4630,CG8249,CG5687,CG5592,Unc-115b,Npc2b,Hmt-1,CG8925,subdued,CG17119,rdog,trp,SERCA","FBgn0028669,FBgn0053310,FBgn0030321,FBgn0030403,FBgn0004649,FBgn0030746,FBgn0032018,FBgn0028539,FBgn0032593,FBgn0033807,FBgn0033809,FBgn0034045,FBgn0035293,FBgn0035645,FBgn0260463,FBgn0038198,FBgn0038376,FBgn0038404,FBgn0038721,FBgn0039045,FBgn0039644,FBgn0003861,FBgn0263006"
"","REACTOME pathway","R-DME-6798695","Neutrophil degranulation","490","23","2.754","0.883","-0.18","0.761807120732626","0.118154972236331","1","0.922661191052874","1","Vha100-3,fw,CG9095,CG9981,CG31445,crq,Arpc5,Nepl7,Eato,CG43366,Spn42Db,hig,Meltrin,Slik,dsb,CG9452,CG32473,Npc2b,CG31233,CG6656,Lerp,cathD,SP1029","FBgn0028669,FBgn0001083,FBgn0030617,FBgn0030746,FBgn0051445,FBgn0015924,FBgn0031437,FBgn0032442,FBgn0028539,FBgn0263109,FBgn0033112,FBgn0010114,FBgn0265140,FBgn0035001,FBgn0035290,FBgn0036877,FBgn0052473,FBgn0038198,FBgn0051233,FBgn0038912,FBgn0051072,FBgn0029093,FBgn0263236"
"","REACTOME pathway","R-DME-199991","Membrane Trafficking","385","22","2.635","1.075","0.104","0.394140650694606","0.404348770762646","1","0.703381053122248","1","crq,Arpc5,Vps53,CG3652,CG14535,CG43366,Spn42Db,CSN4,hig,Vps51,Klp61F,Syx17,Alp10,Grasp65,gig,CG11396,Rich,ArfGAP3,Syt4,Lerp,rdog,or","FBgn0015924,FBgn0031437,FBgn0031598,FBgn0031600,FBgn0031955,FBgn0263109,FBgn0033112,FBgn0027054,FBgn0010114,FBgn0034380,FBgn0004378,FBgn0035540,FBgn0035619,FBgn0036919,FBgn0005198,FBgn0037022,FBgn0028500,FBgn0037182,FBgn0028400,FBgn0051072,FBgn0039644,FBgn0003008"
"","REACTOME pathway","R-DME-5653656","Vesicle-mediated transport","387","22","2.635","1.0694","0.097","0.40367165341221","0.393971746499744","1","0.703381053122248","1","crq,Arpc5,Vps53,CG3652,CG14535,CG43366,Spn42Db,CSN4,hig,Vps51,Klp61F,Syx17,Alp10,Grasp65,gig,CG11396,Rich,ArfGAP3,Syt4,Lerp,rdog,or","FBgn0015924,FBgn0031437,FBgn0031598,FBgn0031600,FBgn0031955,FBgn0263109,FBgn0033112,FBgn0027054,FBgn0010114,FBgn0034380,FBgn0004378,FBgn0035540,FBgn0035619,FBgn0036919,FBgn0005198,FBgn0037022,FBgn0028500,FBgn0037182,FBgn0028400,FBgn0051072,FBgn0039644,FBgn0003008"
"","REACTOME pathway","R-DME-69278","Cell Cycle, Mitotic","254","20","2.395","1.4813","0.567","0.0514858473045394","1.28831213566264","1","0.520375452884638","1","Pp2A-29B,hop,Lam,Cdk1,RPA2,Gp210,Mtor,CG8878,Fen1,Orc4,SA-2,Grasp65,Gnf1,Mcm2,CG4733,DNApol-epsilon255,Nup358,Sld5,gwl,Nup214","FBgn0260439,FBgn0004864,FBgn0002525,FBgn0004106,FBgn0032906,FBgn0266580,FBgn0013756,FBgn0027504,FBgn0025832,FBgn0023181,FBgn0043865,FBgn0036919,FBgn0004913,FBgn0014861,FBgn0038744,FBgn0264326,FBgn0039302,FBgn0039403,FBgn0260399,FBgn0010660"
"","REACTOME pathway","R-DME-73894","DNA Repair","132","18","2.156","2.5653","1.359","0.000215397078217989","3.66676019204273","0.163486382367454","0.163486382367454","1","CG32202,Parp,lok,RPA2,CSN4,Cul4,Mlh1,Rpb5,CG9062,Fen1,rad50,Rev1,Msh6,Gnf1,tefu,Ino80,DNApol-epsilon255,nej","FBgn0052202,FBgn0010247,FBgn0019686,FBgn0032906,FBgn0027054,FBgn0033260,FBgn0011659,FBgn0033571,FBgn0033607,FBgn0025832,FBgn0034728,FBgn0035150,FBgn0036486,FBgn0004913,FBgn0045035,FBgn0086613,FBgn0264326,FBgn0261617"
"","REACTOME pathway","R-DME-194315","Signaling by Rho GTPases","237","17","2.036","1.3494","0.432","0.129229846565536","0.888637171311957","1","0.626921524734389","1","Ulp1,Arpc5,Lam,Sos,neb,scra,CSN4,Slik,Txl,RhoBTB,ArfGAP3,Pak3,faf,PlexB,PlexA,spen,c(3)G","FBgn0027603,FBgn0031437,FBgn0002525,FBgn0001965,FBgn0004374,FBgn0261385,FBgn0027054,FBgn0035001,FBgn0035631,FBgn0036980,FBgn0037182,FBgn0044826,FBgn0005632,FBgn0025740,FBgn0025741,FBgn0016977,FBgn0000246"
"","REACTOME pathway","R-DME-9716542","Signaling by Rho GTPases, Miro GTPases and RHOBTB3","241","17","2.036","1.327","0.408","0.143470762537402","0.843236593441437","1","0.626921524734389","1","Ulp1,Arpc5,Lam,Sos,neb,scra,CSN4,Slik,Txl,RhoBTB,ArfGAP3,Pak3,faf,PlexB,PlexA,spen,c(3)G","FBgn0027603,FBgn0031437,FBgn0002525,FBgn0001965,FBgn0004374,FBgn0261385,FBgn0027054,FBgn0035001,FBgn0035631,FBgn0036980,FBgn0037182,FBgn0044826,FBgn0005632,FBgn0025740,FBgn0025741,FBgn0016977,FBgn0000246"
"","REACTOME pathway","R-DME-109582","Hemostasis","273","17","2.036","1.1714","0.228","0.284807094395182","0.545449196852928","1","0.682100352828951","1","spoon,hop,fw,CG9095,crq,CG14535,Sos,CG43366,Spn42Db,LRR,hig,Klp61F,dsb,Su(var)3-3,Sccpdh1,rdog,SERCA","FBgn0263987,FBgn0004864,FBgn0001083,FBgn0030617,FBgn0015924,FBgn0031955,FBgn0001965,FBgn0263109,FBgn0033112,FBgn0033212,FBgn0010114,FBgn0004378,FBgn0035290,FBgn0260397,FBgn0037298,FBgn0039644,FBgn0263006"
"","REACTOME pathway","R-DME-983169","Class I MHC mediated antigen processing & presentation","225","16","1.916","1.3377","0.42","0.14514132865152","0.838208905621415","1","0.626921524734389","1","CG1824,CG31445,HERC2,crq,STUB1,Mdr49,Uba3,Ubc10,nopo,dsb,ctrip,FBXO11,CG32473,CG31233,Patj,SP1029","FBgn0030403,FBgn0051445,FBgn0031107,FBgn0015924,FBgn0027052,FBgn0004512,FBgn0263697,FBgn0026316,FBgn0034314,FBgn0035290,FBgn0260794,FBgn0037760,FBgn0052473,FBgn0051233,FBgn0067864,FBgn0263236"
"","REACTOME pathway","R-DME-3700989","Transcriptional Regulation by TP53","183","15","1.796","1.542","0.625","0.0635413646381203","1.19694346233793","1","0.544424934363993","1","Trx-2,Cdk1,lok,Rpb5,Cdk9,enok,dre4,CycT,Mi-2,gig,MBD-R2,tefu,l(3)mbt,nej,Tor","FBgn0040070,FBgn0004106,FBgn0019686,FBgn0033571,FBgn0019949,FBgn0034975,FBgn0002183,FBgn0025455,FBgn0262519,FBgn0005198,FBgn0038016,FBgn0045035,FBgn0002441,FBgn0261617,FBgn0021796"
"","REACTOME pathway","R-DME-9012999","RHO GTPase cycle","199","14","1.677","1.3235","0.404","0.174214186103849","0.75891648368097","1","0.654149853214042","1","Ulp1,Lam,Sos,scra,CSN4,Slik,Txl,RhoBTB,ArfGAP3,Pak3,faf,PlexB,PlexA,spen","FBgn0027603,FBgn0002525,FBgn0001965,FBgn0261385,FBgn0027054,FBgn0035001,FBgn0035631,FBgn0036980,FBgn0037182,FBgn0044826,FBgn0005632,FBgn0025740,FBgn0025741,FBgn0016977"
"","REACTOME pathway","R-DME-72203","Processing of Capped Intron-Containing Pre-mRNA","212","14","1.677","1.2423","0.313","0.238390910339393","0.622710307928036","1","0.666735473262724","1","Sf3b2,Spf45,Gp210,Rpb5,Mtor,CG5543,eIF4E3,Sf3a2,nxf2,CG6841,Sf3a1,Nup358,Nup214,hrg","FBgn0031493,FBgn0086683,FBgn0266580,FBgn0033571,FBgn0013756,FBgn0034908,FBgn0265089,FBgn0036314,FBgn0036640,FBgn0036828,FBgn0266917,FBgn0039302,FBgn0010660,FBgn0015949"
"","REACTOME pathway","R-DME-2262752","Cellular responses to stress","328","13","1.557","0.7456","-0.424","0.894478207570652","0.0484302358088533","1","0.987926632797019","1","Vha100-3,Trx-2,Gp210,Mtor,rad50,BHD,PEK,tefu,Nup358,nej,Nup214,Tor,Su(z)12","FBgn0028669,FBgn0040070,FBgn0266580,FBgn0013756,FBgn0034728,FBgn0261111,FBgn0037327,FBgn0045035,FBgn0039302,FBgn0261617,FBgn0010660,FBgn0021796,FBgn0020887"
"","REACTOME pathway","R-DME-8953897","Cellular responses to stimuli","328","13","1.557","0.7456","-0.424","0.894478207570652","0.0484302358088533","1","0.987926632797019","1","Vha100-3,Trx-2,Gp210,Mtor,rad50,BHD,PEK,tefu,Nup358,nej,Nup214,Tor,Su(z)12","FBgn0028669,FBgn0040070,FBgn0266580,FBgn0013756,FBgn0034728,FBgn0261111,FBgn0037327,FBgn0045035,FBgn0039302,FBgn0261617,FBgn0010660,FBgn0021796,FBgn0020887"
"","REACTOME pathway","R-DME-983168","Antigen processing: Ubiquitination & Proteasome degradation","198","12","1.437","1.1401","0.189","0.362259045955452","0.44098076097208","1","0.688781537336373","1","CG31445,HERC2,STUB1,Uba3,Ubc10,nopo,ctrip,FBXO11,CG32473,CG31233,Patj,SP1029","FBgn0051445,FBgn0031107,FBgn0027052,FBgn0263697,FBgn0026316,FBgn0034314,FBgn0260794,FBgn0037760,FBgn0052473,FBgn0051233,FBgn0067864,FBgn0263236"
"","REACTOME pathway","R-DME-68886","M Phase","148","11","1.317","1.3982","0.484","0.164515958746256","0.783791967262529","1","0.653757134494286","1","Pp2A-29B,Lam,Cdk1,Gp210,Mtor,CG8878,SA-2,Grasp65,Nup358,gwl,Nup214","FBgn0260439,FBgn0002525,FBgn0004106,FBgn0266580,FBgn0013756,FBgn0027504,FBgn0043865,FBgn0036919,FBgn0039302,FBgn0260399,FBgn0010660"
"","REACTOME pathway","R-DME-9006934","Signaling by Receptor Tyrosine Kinases","171","11","1.317","1.2101","0.275","0.301035562264279","0.521382196821933","1","0.682100352828951","1","Vha100-3,Pp2A-29B,hop,STUB1,Sos,CG8878,Spred,Mi-2,Pak3,nej,Tor","FBgn0028669,FBgn0260439,FBgn0004864,FBgn0027052,FBgn0001965,FBgn0027504,FBgn0020767,FBgn0262519,FBgn0044826,FBgn0261617,FBgn0021796"
"","REACTOME pathway","R-DME-112316","Neuronal System","212","11","1.317","0.9761","-0.035","0.576885173221684","0.238910622890973","1","0.834011136143349","1","X11L,nAChRalpha6,CG4630,CG5592,Gabat,Ir76b,Nmdar1,yrt,Task6,CG8925,pHCl-2","FBgn0026313,FBgn0032151,FBgn0033809,FBgn0035645,FBgn0036927,FBgn0036937,FBgn0010399,FBgn0004049,FBgn0038165,FBgn0038404,FBgn0039840"
"","REACTOME pathway","R-DME-5696398","Nucleotide Excision Repair","91","10","1.198","2.0673","1.048","0.02245439864391","1.64869857137965","1","0.493322669924725","1","CG32202,Parp,RPA2,CSN4,Cul4,Rpb5,Gnf1,Ino80,DNApol-epsilon255,nej","FBgn0052202,FBgn0010247,FBgn0032906,FBgn0027054,FBgn0033260,FBgn0033571,FBgn0004913,FBgn0086613,FBgn0264326,FBgn0261617"
"","REACTOME pathway","R-DME-1257604","PIP3 activates AKT signaling","141","10","1.198","1.3342","0.416","0.217448533736393","0.66264351645273","1","0.666735473262724","1","Pp2A-29B,otu,CG32568,STUB1,Usp5,Mi-2,gig,Pten,Tor,Su(z)12","FBgn0260439,FBgn0003023,FBgn0052568,FBgn0027052,FBgn0035402,FBgn0262519,FBgn0005198,FBgn0026379,FBgn0021796,FBgn0020887"
"","REACTOME pathway","R-DME-5683057","MAPK family signaling cascades","149","10","1.198","1.2625","0.336","0.269182432503549","0.569953286631281","1","0.682100352828951","1","Pp2A-29B,hop,CG32568,CG34393,Cdk1,Sos,Spred,scny,app,Pak3","FBgn0260439,FBgn0004864,FBgn0052568,FBgn0085422,FBgn0004106,FBgn0001965,FBgn0020767,FBgn0260936,FBgn0260941,FBgn0044826"
"","REACTOME pathway","R-DME-9006925","Intracellular signaling by second messengers","160","10","1.198","1.1757","0.234","0.345515178685031","0.461532869058657","1","0.682100352828951","1","Pp2A-29B,otu,CG32568,STUB1,Usp5,Mi-2,gig,Pten,Tor,Su(z)12","FBgn0260439,FBgn0003023,FBgn0052568,FBgn0027052,FBgn0035402,FBgn0262519,FBgn0005198,FBgn0026379,FBgn0021796,FBgn0020887"
